Study_no,ES_no,Title,FirstAuth,Pub_year,Pub_type,Pub_name,DOI,City,Country,Study_year,Study_class,Study_order,Study_spec,Study_effect,Conn_type,Conn_metric,Conn_buffer,Conn_feat,Conn_lcclass,Conn_tool,r_metric,r_method,corr_type,mi,ri,ti,fi,pi,bi,var_sdi,var_type,R2i,ni,n_type,NOTES
80,467,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,1.5,area,grey,GIS,species richness      ,pitfall trap,pearson,na,0.08,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,468,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,1.5,mean distance,dist,GIS,species richness      ,pitfall trap,pearson,na,0,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,469,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,0.2,area,grey,GIS,shannon diversity     ,pitfall trap,pearson,na,0.37,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,470,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,0.2,mean distance,dist,GIS,shannon diversity     ,pitfall trap,pearson,na,0.35,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,471,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,1.5,area,grey,GIS,shannon diversity     ,pitfall trap,pearson,na,0.44,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,472,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,1.5,mean distance,dist,GIS,shannon diversity     ,pitfall trap,pearson,na,0.44,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,473,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,0.2,area,grey,GIS,functional richness,pitfall trap,pearson,na,0.37,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,474,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,0.2,mean distance,dist,GIS,functional richness,pitfall trap,pearson,na,0.18,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,475,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,1.5,area,grey,GIS,functional richness,pitfall trap,pearson,na,0.14,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,476,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,1.5,mean distance,dist,GIS,functional richness,pitfall trap,pearson,na,0.28,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,477,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,0.2,area,grey,GIS,functional beta diversity,pitfall trap,pearson,na,0.37,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,478,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,0.2,mean distance,dist,GIS,functional beta diversity,pitfall trap,pearson,na,0.08,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,479,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,1.5,area,grey,GIS,functional beta diversity,pitfall trap,pearson,na,0.32,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,480,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,1.5,mean distance,dist,GIS,functional beta diversity,pitfall trap,pearson,na,0.26,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,481,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,0.2,area,grey,GIS,functional richness,pitfall trap,pearson,na,0.4,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,482,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,0.2,mean distance,dist,GIS,functional richness,pitfall trap,pearson,na,0.31,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,483,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,1.5,area,grey,GIS,functional richness,pitfall trap,pearson,na,0.16,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,484,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,1.5,mean distance,dist,GIS,functional richness,pitfall trap,pearson,na,0.22,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,485,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,0.2,area,grey,GIS,functional evenness ,pitfall trap,pearson,na,0.06,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,486,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,0.2,mean distance,dist,GIS,functional evenness ,pitfall trap,pearson,na,0.29,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,487,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,proportion developed in buffer,1.5,area,grey,GIS,functional evenness ,pitfall trap,pearson,na,-0.1,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,488,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,arachnida,araneae,na,associative,structural,mean euclidean nearest neighbour distance,1.5,mean distance,dist,GIS,functional evenness ,pitfall trap,pearson,na,0.06,na,na,na,na,na,na,na,32,sites - vacant lots,"pooled spiders, pearson correlations calculated from raw data in dryad data"
80,489,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,plantae,na,na,associative,structural,proportion developed in buffer,0.2,area,grey,GIS,shannon diversity       ,site survey,pearson,na,-0.11,na,na,na,na,na,na,na,32,sites - vacant lots,"plant diversity from same sites, pearson correlations calculated from raw data in dryad data"
80,490,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,plantae,na,na,associative,structural,mean euclidean nearest neighbour distance,0.2,mean distance,dist,GIS,shannon diversity       ,site survey,pearson,na,-0.31,na,na,na,na,na,na,na,32,sites - vacant lots,"plant diversity from same sites, pearson correlations calculated from raw data in dryad data"
80,491,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,plantae,na,na,associative,structural,proportion developed in buffer,1.5,area,grey,GIS,shannon diversity       ,site survey,pearson,na,0,na,na,na,na,na,na,na,32,sites - vacant lots,"plant diversity from same sites, pearson correlations calculated from raw data in dryad data"
80,492,Local and landscape‐scale environmental filters drive the functional diversity and taxonomic composition of spiders across urban greenspaces,Delgado de la flor,2020,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.13636,Cleveland,United States,2016,plantae,na,na,associative,structural,mean euclidean nearest neighbour distance,1.5,mean distance,dist,GIS,shannon diversity       ,site survey,pearson,na,-0.08,na,na,na,na,na,na,na,32,sites - vacant lots,"plant diversity from same sites, pearson correlations calculated from raw data in dryad data"
81,493,Effects of seasonality on the species–area relationship: a case study with birds in urban parks,Murgui,2007,journalarticle,Global Ecology and Biogeography,10.1111/j.1466-8238.2006.00304.x,Valencia,Spain,1998-04,aves,na,spring breeding birds,associative,structural,distance to nearest neighbour,na,distance,dist-green,orthomap,sorensen dissimilarity,site survey,spearman,na,0.36,na,na,0.04,na,na,na,na,32,sites - parks,species turnover measured as 1-sorenson index
81,494,Effects of seasonality on the species–area relationship: a case study with birds in urban parks,Murgui,2007,journalarticle,Global Ecology and Biogeography,10.1111/j.1466-8238.2006.00304.x,Valencia,Spain,1998-04,aves,na,autumn breeding birds,associative,structural,distance to nearest neighbour,na,distance,dist-green,orthomap,sorensen dissimilarity,site survey,spearman,na,0.16,na,na,0.36,na,na,na,na,32,sites - parks,species turnover measured as 1-sorenson index
82,495,Medium and large mammal conservation in the City of Cape Town: factors influencing species richness in urban nature reserves,Schnetler,2021,journalarticle,Urban Ecosystems,10.1007/s11252-020-01027-w,Cape Town,South Africa,2017-19,mammalia,na,small mammals,associative,structural,ordinal connectivity index,na,other,green,GIS,species richness,camera trap,pearson,na,0.89,na,na,na,na,na,na,na,11,sites - reserves,connectivity index is a subjective ordinal scale; description in table 5
83,496,Investigating the distribution of prairie dogs in an urban landscape,Magle,2009,journalarticle,Animal Conservation,10.1111/j.1469-1795.2009.00237.x,Denver,United States,2002,mammalia,rodentia,prairie dog,associative,potential,incidence function measure,na,resistance-weighted area,green,GIS,occurrence,site survey,pearson,na,0.5,na,na,na,na,0.115,SE,na,92,sites - colonies,correlation coefficient calculated from X2 values described in text. Comparing prairie dog colonies Described as modified Hanski metric
83,497,Investigating the distribution of prairie dogs in an urban landscape,Magle,2009,journalarticle,Animal Conservation,10.1111/j.1469-1795.2009.00237.x,Denver,United States,2002,mammalia,rodentia,prairie dog,associative,structural,proportion greenspace in buffer,2,area,green,GIS,occurrence,site survey,pearson,na,0.2,na,na,na,na,0.1057,na,na,92,sites - colonies,correlation coefficient calculated from X2 values described in text. Comparing prairie dog colonies Described as modified Hanski metric
84,498,Genetic structure in neotropical birds with different tolerance to urbanization,Rodríguez-Bardía,2022,journalarticle,Scientific Reports,10.1038/s41598-022-09961-9,San Jose,Costa Rica,2019,aves,passeriformes,Melozone leucotis,associative,structural,geographic distance,na,distance,dist,circuitscape,genetic distance-Fst,genetic-microsatellite,mantel,na,0.47,na,na,0.001,na,na,na,na,56,individual genotype,"log10 transformed distances; not all sites are in San Jose, in the 'greater metropolitan area'"
84,499,Genetic structure in neotropical birds with different tolerance to urbanization,Rodríguez-Bardía,2022,journalarticle,Scientific Reports,10.1038/s41598-022-09961-9,San Jose,Costa Rica,2019,aves,passeriformes,Melozone leucotis,associative,functional,resistance distance,na,resistance,resist,circuitscape,genetic distance-Fst,genetic-microsatellite,mantel,na,0.35,na,na,0.001,na,na,na,na,56,individual genotype,log10 transformed distances; resistance distances defined by LC map
84,500,Genetic structure in neotropical birds with different tolerance to urbanization,Rodríguez-Bardía,2022,journalarticle,Scientific Reports,10.1038/s41598-022-09961-9,San Jose,Costa Rica,2019,aves,passeriformes,Melozone leucotis,associative,functional,environmental distance,na,resistance,resist,circuitscape,genetic distance-Fst,genetic-microsatellite,mantel,na,0.45,na,na,0.001,na,na,na,na,56,individual genotype,log10 transformed distances; environmental distance defined using SDM with ebird data.
84,501,Genetic structure in neotropical birds with different tolerance to urbanization,Rodríguez-Bardía,2022,journalarticle,Scientific Reports,10.1038/s41598-022-09961-9,San Jose,Costa Rica,2019,aves,passeriformes,Troglodytes aedon,associative,structural,geographic distance,na,distance,dist,circuitscape,genetic distance-Fst,genetic-microsatellite,mantel,na,0.07,na,na,0.184,na,na,na,na,61,individual genotype,"log10 transformed distances; not all sites are in San Jose, in the 'greater metropolitan area'"
84,502,Genetic structure in neotropical birds with different tolerance to urbanization,Rodríguez-Bardía,2022,journalarticle,Scientific Reports,10.1038/s41598-022-09961-9,San Jose,Costa Rica,2019,aves,passeriformes,Troglodytes aedon,associative,functional,resistance distance,na,resistance,resist,circuitscape,genetic distance-Fst,genetic-microsatellite,mantel,na,0.11,na,na,0.02,na,na,na,na,61,individual genotype,log10 transformed distances; resistance distances defined by LC map
84,503,Genetic structure in neotropical birds with different tolerance to urbanization,Rodríguez-Bardía,2022,journalarticle,Scientific Reports,10.1038/s41598-022-09961-9,San Jose,Costa Rica,2019,aves,passeriformes,Troglodytes aedon,associative,functional,environmental distance,na,resistance,resist,circuitscape,genetic distance-Fst,genetic-microsatellite,mantel,na,0.1,na,na,0.034,na,na,na,na,61,individual genotype,log10 transformed distances; environmental distance defined using SDM with ebird data.
85,504,Species turnover and geographic distance in an urban river network,Rouquette,2013,journalarticle,Diversity and Distributions,10.1111/ddi.12120,Sheffield,United Kingdom,2009,arthropoda,na,aquatic invertebrates,associative,structural,geographic distance,na,distance,dist,orthomap,jaccard dissimilarity,sweep netting,mantel,na,0.3,na,na,na,na,na,na,na,41,sites - sample,"820 pairs of sites, focus is more on river connectivity"
85,505,Species turnover and geographic distance in an urban river network,Rouquette,2013,journalarticle,Diversity and Distributions,10.1111/ddi.12120,Sheffield,United Kingdom,2009,insecta,lepidoptera,na,associative,structural,geographic distance,na,distance,dist,orthomap,jaccard dissimilarity,site survey,mantel,na,0,na,na,na,na,na,na,na,41,sites - sample,"666 pairs of sites, focus is more on river connectivity"
85,506,Species turnover and geographic distance in an urban river network,Rouquette,2013,journalarticle,Diversity and Distributions,10.1111/ddi.12120,Sheffield,United Kingdom,2009,aves,na,na,associative,structural,geographic distance,na,distance,dist,orthomap,jaccard dissimilarity,mist-netting,mantel,na,0.24,na,na,na,na,na,na,na,41,sites - sample,"820 pairs of sites, focus is more on river connectivity"
85,507,Species turnover and geographic distance in an urban river network,Rouquette,2013,journalarticle,Diversity and Distributions,10.1111/ddi.12120,Sheffield,United Kingdom,2009,plantae,na,na,associative,structural,geographic distance,na,distance,dist,orthomap,jaccard dissimilarity,site survey,mantel,na,0.22,na,na,na,na,na,na,na,41,sites - sample,"820 pairs of sites, focus is more on river connectivity"
85,508,Species turnover and geographic distance in an urban river network,Rouquette,2013,journalarticle,Diversity and Distributions,10.1111/ddi.12120,Sheffield,United Kingdom,2009,arthropoda,na,aquatic invertebrates,associative,structural,shortest-euclidean distance connecting patches,na,graph network,green,orthomap,jaccard dissimilarity,sweep netting,mantel,na,0.48,na,na,na,na,na,na,na,41,sites - sample,"820 pairs of sites, focus is more on river connectivity"
85,509,Species turnover and geographic distance in an urban river network,Rouquette,2013,journalarticle,Diversity and Distributions,10.1111/ddi.12120,Sheffield,United Kingdom,2009,insecta,lepidoptera,na,associative,structural,shortest-euclidean distance connecting patches,na,graph network,green,orthomap,jaccard dissimilarity,site survey,mantel,na,0.02,na,na,na,na,na,na,na,41,sites - sample,"666 pairs of sites, focus is more on river connectivity"
85,510,Species turnover and geographic distance in an urban river network,Rouquette,2013,journalarticle,Diversity and Distributions,10.1111/ddi.12120,Sheffield,United Kingdom,2009,aves,na,na,associative,structural,shortest-euclidean distance connecting patches,na,graph network,green,orthomap,jaccard dissimilarity,mist-netting,mantel,na,0.22,na,na,na,na,na,na,na,41,sites - sample,"820 pairs of sites, focus is more on river connectivity"
85,511,Species turnover and geographic distance in an urban river network,Rouquette,2013,journalarticle,Diversity and Distributions,10.1111/ddi.12120,Sheffield,United Kingdom,2009,plantae,na,na,associative,structural,shortest-euclidean distance connecting patches,na,graph network,green,orthomap,jaccard dissimilarity,site survey,mantel,na,0.26,na,na,na,na,na,na,na,41,sites - sample,"820 pairs of sites, focus is more on river connectivity"
86,512,Orchid Bees of forest fragments in Southwestern Amazonia,Storck-Tonon,2013,journalarticle,Biota Neotropica,10.1590/S1676-06032013000100015,Rio Branco,Brazil,2006,insecta,hymenoptera,orchid bees,associative,structural,inverse mean distance to patches in buffer,5,mean distance,prox,GIS,species richness,bait trap,pearson,na,0.57,na,na,na,na,na,na,na,11,sites - forest fragments,They use the INVERSE of the mean distance to neighbouring patches in the buffer. From table 4
86,513,Orchid Bees of forest fragments in Southwestern Amazonia,Storck-Tonon,2013,journalarticle,Biota Neotropica,10.1590/S1676-06032013000100015,Rio Branco,Brazil,2006,insecta,hymenoptera,orchid bees,associative,structural,inverse mean distance to patches in buffer,5,mean distance,prox,GIS,abundance,bait trap,pearson,na,0.54,na,na,na,na,na,na,na,11,sites - forest fragments,They use the INVERSE of the mean distance to neighbouring patches in the buffer. From table 4
86,514,Orchid Bees of forest fragments in Southwestern Amazonia,Storck-Tonon,2013,journalarticle,Biota Neotropica,10.1590/S1676-06032013000100015,Rio Branco,Brazil,2006,insecta,hymenoptera,orchid bees,associative,structural,inverse mean distance to patches in buffer,5,mean distance,prox,GIS,shannon diversity,bait trap,pearson,na,0.19,na,na,na,na,na,na,na,11,sites - forest fragments,They use the INVERSE of the mean distance to neighbouring patches in the buffer. From table 4
86,515,Orchid Bees of forest fragments in Southwestern Amazonia,Storck-Tonon,2013,journalarticle,Biota Neotropica,10.1590/S1676-06032013000100015,Rio Branco,Brazil,2006,insecta,hymenoptera,orchid bees,associative,structural,inverse mean distance to patches in buffer,5,mean distance,prox,GIS,simpson reciprocal index,bait trap,pearson,na,0.21,na,na,na,na,na,na,na,11,sites - forest fragments,They use the INVERSE of the mean distance to neighbouring patches in the buffer. From table 4
86,516,Orchid Bees of forest fragments in Southwestern Amazonia,Storck-Tonon,2013,journalarticle,Biota Neotropica,10.1590/S1676-06032013000100015,Rio Branco,Brazil,2006,insecta,hymenoptera,orchid bees,associative,structural,inverse mean distance to patches in buffer,5,mean distance,prox,GIS,bray-curtis dissimilarity,bait trap,mantel,na,0.07,0.21,na,na,na,na,na,na,11,sites - forest fragments,"Bray-Curtis SIMILARITY, from the text, inversed the value to be consistent"
87,517,Grasshopper diversity of urban wastelands is primarily boosted by habitat factors,Eckert,2017,journalarticle,Insect Conservation and Diversity,10.1111/icad.12221,Berlin,Germany,2014,insecta,orthoptera,na,associative,structural,distance to nearest neighbour,na,distance,dist-green,GIS,species richness,transect survey,pearson,na,-0.49,na,na,na,na,na,na,na,24,sites - vacant lots,"calculated from raw data, in appndix1,3"
87,518,Grasshopper diversity of urban wastelands is primarily boosted by habitat factors,Eckert,2017,journalarticle,Insect Conservation and Diversity,10.1111/icad.12221,Berlin,Germany,2014,insecta,orthoptera,na,associative,structural,distance to nearest neighbour,na,distance,dist-green,GIS,shannon diversity,transect survey,pearson,na,-0.48,na,na,na,na,na,na,na,24,sites - vacant lots,"calculated from raw data, in appndix1,3"
87,519,Grasshopper diversity of urban wastelands is primarily boosted by habitat factors,Eckert,2017,journalarticle,Insect Conservation and Diversity,10.1111/icad.12221,Berlin,Germany,2014,insecta,orthoptera,na,associative,structural,distance to nearest neighbour,na,distance,dist-green,GIS,simpson reciprocal index,transect survey,pearson,na,-0.48,na,na,na,na,na,na,na,24,sites - vacant lots,"calculated from raw data, in appndix1,3"
87,520,Grasshopper diversity of urban wastelands is primarily boosted by habitat factors,Eckert,2017,journalarticle,Insect Conservation and Diversity,10.1111/icad.12221,Berlin,Germany,2014,insecta,orthoptera,na,associative,structural,distance to nearest neighbour,na,distance,dist-green,GIS,pielou evenness,transect survey,pearson,na,-0.13,na,na,na,na,na,na,na,24,sites - vacant lots,"calculated from raw data, in appndix1,3"
87,521,Grasshopper diversity of urban wastelands is primarily boosted by habitat factors,Eckert,2017,journalarticle,Insect Conservation and Diversity,10.1111/icad.12221,Berlin,Germany,2014,insecta,orthoptera,na,associative,structural,proportion impervious in buffer,0.2,area,grey,GIS,species richness,transect survey,pearson,na,-0.36,na,na,na,na,na,na,na,24,sites - vacant lots,"calculated from raw data, in appndix1,3"
87,522,Grasshopper diversity of urban wastelands is primarily boosted by habitat factors,Eckert,2017,journalarticle,Insect Conservation and Diversity,10.1111/icad.12221,Berlin,Germany,2014,insecta,orthoptera,na,associative,structural,proportion impervious in buffer,0.2,area,grey,GIS,shannon diversity,transect survey,pearson,na,-0.46,na,na,na,na,na,na,na,24,sites - vacant lots,"calculated from raw data, in appndix1,3"
87,523,Grasshopper diversity of urban wastelands is primarily boosted by habitat factors,Eckert,2017,journalarticle,Insect Conservation and Diversity,10.1111/icad.12221,Berlin,Germany,2014,insecta,orthoptera,na,associative,structural,proportion impervious in buffer,0.2,area,grey,GIS,simpson reciprocal index,transect survey,pearson,na,-0.52,na,na,na,na,na,na,na,24,sites - vacant lots,"calculated from raw data, in appndix1,3"
87,524,Grasshopper diversity of urban wastelands is primarily boosted by habitat factors,Eckert,2017,journalarticle,Insect Conservation and Diversity,10.1111/icad.12221,Berlin,Germany,2014,insecta,orthoptera,na,associative,structural,proportion impervious in buffer,0.2,area,grey,GIS,pielou evenness,transect survey,pearson,na,-0.23,na,na,na,na,na,na,na,24,sites - vacant lots,"calculated from raw data, in appndix1,3"
88,525,The degree of urbanisation reduces wild bee and butterfly diversity and alters the patterns of flower-visitation in urban dry grasslands,Herrmann,2023,journalarticle,Scientific Reports,10.1038/s41598-023-29275-8,Berlin,Germany,2021,plantae,na,flowering plants,associative,structural,proportion developed in buffer,0.1,area,grey,QGIS,species richness,transect survey,pearson,na,0.15,na,na,na,na,na,na,na,11,sites - grasslands,"calculated from raw data, available from dryad"
88,526,The degree of urbanisation reduces wild bee and butterfly diversity and alters the patterns of flower-visitation in urban dry grasslands,Herrmann,2023,journalarticle,Scientific Reports,10.1038/s41598-023-29275-8,Berlin,Germany,2021,plantae,na,flowering plants,associative,structural,proportion developed in buffer,0.5,area,grey,QGIS,species richness,transect survey,pearson,na,0.35,na,na,na,na,na,na,na,11,sites - grasslands,"calculated from raw data, available from dryad"
88,527,The degree of urbanisation reduces wild bee and butterfly diversity and alters the patterns of flower-visitation in urban dry grasslands,Herrmann,2023,journalarticle,Scientific Reports,10.1038/s41598-023-29275-8,Berlin,Germany,2021,plantae,na,flowering plants,associative,structural,proportion developed in buffer,1,area,grey,QGIS,species richness,transect survey,pearson,na,0.43,na,na,na,na,na,na,na,11,sites - grasslands,"calculated from raw data, available from dryad"
88,528,The degree of urbanisation reduces wild bee and butterfly diversity and alters the patterns of flower-visitation in urban dry grasslands,Herrmann,2023,journalarticle,Scientific Reports,10.1038/s41598-023-29275-8,Berlin,Germany,2021,plantae,na,flowering plants,associative,potential,incidence function measure,na,distance-weighted area,green,QGIS,species richness,transect survey,pearson,na,-0.28,na,na,na,na,na,na,na,11,sites - grasslands,"calculated from raw data, available from dryad"
88,529,The degree of urbanisation reduces wild bee and butterfly diversity and alters the patterns of flower-visitation in urban dry grasslands,Herrmann,2023,journalarticle,Scientific Reports,10.1038/s41598-023-29275-8,Berlin,Germany,2021,plantae,na,flowering plants,associative,potential,connectance,na,graph network,green,QGIS,species richness,transect survey,pearson,na,-0.22,na,na,na,na,na,na,na,11,sites - grasslands,"calculated from raw data, available from dryad"
88,530,The degree of urbanisation reduces wild bee and butterfly diversity and alters the patterns of flower-visitation in urban dry grasslands,Herrmann,2023,journalarticle,Scientific Reports,10.1038/s41598-023-29275-8,Berlin,Germany,2021,plantae,na,flowering plants,associative,structural,proportion developed in buffer,0.1,area,grey,QGIS,shannon diversity,transect survey,pearson,na,-0.61,na,na,na,na,na,na,na,11,sites - grasslands,"calculated from raw data, available from dryad"
88,531,The degree of urbanisation reduces wild bee and butterfly diversity and alters the patterns of flower-visitation in urban dry grasslands,Herrmann,2023,journalarticle,Scientific Reports,10.1038/s41598-023-29275-8,Berlin,Germany,2021,plantae,na,flowering plants,associative,structural,proportion developed in buffer,0.5,area,grey,QGIS,shannon diversity,transect survey,pearson,na,-0.5,na,na,na,na,na,na,na,11,sites - grasslands,"calculated from raw data, available from dryad"
