ID,pd,item_type,pub_year,author,title,journal,ISBN,ISSN,DOI,URL,pdf,urban_area,country,conn_type,conn_metric,response_var,taxa,validation,data_location,excl_reason,result_sign,notes
435,YES,journalArticle,2006,"Lorenzetti, Emanuela; Battisti, Corrado",Area as component of habitat fragmentation : corroborating its role in breeding bird communities and guilds of oak wood fragments in central Italy,Revue d'Ecologie,,0249-7395,10.3406/revec.2006.1299,https://www.persee.fr/doc/revec_0249-7395_2006_num_61_1_1299,Y,Rome,Italy,structural,distance from the nearest forest >10 Ha,"species richness, shannon-wiener index, species density",aves,survey,"text, table",na,0,more suburban than urban
207,YES,journalArticle,2009,"Loss, Scott R.; Ruiz, Marilyn O.; Brawn, Jeffrey D.","Relationships between avian diversity, neighborhood age, income, and environmental characteristics of an urban landscape",Biological Conservation,,63207,10.1016/j.biocon.2009.06.004,https://linkinghub.elsevier.com/retrieve/pii/S0006320709002596,Y,Chicago,USA,structural,distance to natural reserves >1km2 ,"species richness, density, occurrence",aves,survey,"text, table, figure",na,neg,"AIC model selection, they also include socio-economic factors "
3,YES,journalArticle,2022,"Louis-lucas, Tanguy; Clauzel, Céline; Mayrand, Flavie; Clergeau, Philippe; Machon, Nathalie","Role of green roofs in urban connectivity, an exploratory approach using landscape graphs in the city of Paris, France",Urban Forestry & Urban Greening,,16188667,10.1016/j.ufug.2022.127765,https://linkinghub.elsevier.com/retrieve/pii/S1618866722003089,Y,Paris,France,potential,"current flow, betweenness centrality",na,na,none,na,8,na,"no validation, only comparing maps with different contribution potential of green roofs."
7,YES,journalArticle,2022,"Lu, Yanchi; Liu, Yaolin; Huang, Dan; Liu, Yanfang","Evolution Analysis of Ecological Networks Based on Spatial Distribution Data of Land Use Types Monitored by Remote Sensing in Wuhan Urban Agglomeration, China, from 2000 to 2020",Remote Sensing,,2072-4292,10.3390/rs14112618,https://www.mdpi.com/2072-4292/14/11/2618,Y,Wuhan,China,potential,betweenness centrality,na,na,none,na,8,na ,"no validation, just using the InVEST model to design least-cost path. Expert opinion used to design resistances"
325,YES,journalArticle,2023,"Lumia, Giovanni; Praticò, Salvatore; Di Fazio, Salvatore; Cushman, Samuel; Modica, Giuseppe",Combined use of urban Atlas and Corine land cover datasets for the implementation of an ecological network using graph theory within a multi-species approach,Ecological Indicators,,1470160X,10.1016/j.ecolind.2023.110150,https://linkinghub.elsevier.com/retrieve/pii/S1470160X23002923,Y,Calabria,Italy,potential,"current flow, betweenness centrality, proability of connectivity index",na,mammalia,none,na,8,na,"interesting protocol, but no validation."
246,YES,journalArticle,2022,"Luo, Yuhang; Zhu, Zaichun; Wu, Jiansheng; Zhang, Yanan; Li, Xuechen; Zhao, Weiqing; Yuan, Ye; Duanmu, Zeyu; Li, Muyi",Exploring habitat patch clusters based on network community detection to identify restored priority areas of ecological networks in urban areas,Urban Forestry & Urban Greening,,16188667,10.1016/j.ufug.2022.127771,https://linkinghub.elsevier.com/retrieve/pii/S1618866722003144,Y,Shenzhen,China,potential,betweenness centrality,na,multi-taxa,none,na,8,na,"Habitat suitability for 5 species used to identify focal habitats, InVEST integrated into modelling connectivity"
235,YES,journalArticle,2019,"Lv, Zhiyuan; Yang, Jun; Wielstra, Ben; Wei, Jie; Xu, Fei; Si, Yali",Prioritizing Green Spaces for Biodiversity Conservation in Beijing Based on Habitat Network Connectivity,Sustainability,,2071-1050,10.3390/su11072042,https://www.mdpi.com/2071-1050/11/7/2042,Y,Beijing,China,potential,probability of connectivity index,occupancy,aves,citizen science,"text, supplement",8,pos,citzen science data used to characterize the SDM to generate the connectivity map off of.
39,YES,journalArticle,2022,"Ma, Binbin; Chen, Zhu-an; Wei, Xiaojian; Li, Xiuquan; Zhang, Liting",Comparative ecological network pattern analysis: a case of Nanchang,Environmental Science and Pollution Research,,"0944-1344, 1614-7499",10.1007/s11356-021-17808-5,https://link.springer.com/10.1007/s11356-021-17808-5,Y,Nanchang,China,potential,"integral index of connectivity, probability of connectivity",na,na,none,na,8,na,"no biological validation of the connectivity maps, only comparison of the networks"
315,YES,journalArticle,2011,"MacDougall-Shackleton, Elizabeth A.; Clinchy, Michael; Zanette, Liana; Neff, Bryan D.",Songbird genetic diversity is lower in anthropogenically versus naturally fragmented landscapes,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-011-0222-0,http://link.springer.com/10.1007/s10592-011-0222-0,Y,Victoria,Canada,genetic,geographic distance,genetic differentiation,aves,genetic sample,"text, table, figure",na,neg,"song sparrows, microsatellite loci used. Genetic differentiation increases with distance, but not cover type"
72,YES,journalArticle,2016,"MacGregor-Fors, Ian; Escobar, Federico; Rueda-Hernández, Rafael; Avendaño-Reyes, Sergio; Baena, Martha; Bandala, Víctor; Chacón-Zapata, Santiago; Guillén-Servent, Antonio; González-García, Fernando; Lorea-Hernández, Francisco; Montes De Oca, Enrique; Montoya, Leticia; Pineda, Eduardo; Ramírez-Restrepo, Lorena; Rivera-García, Eduardo; Utrera-Barrillas, Elsa",City “Green” Contributions: The Role of Urban Greenspaces as Reservoirs for Biodiversity,Forests,,1999-4907,10.3390/f7070146,http://www.mdpi.com/1999-4907/7/7/146,Y,Xalapa,Mexico,na,na,na,multi-taxa,na,na,5,na,"multi-taxonimic comparison of composition, NO connectivity included, just invoked as an explanation"
392,YES,journalArticle,2021,"Fusco, Nicole A.; Pehek, Ellen; Munshi?South, Jason",Urbanization reduces gene flow but not genetic diversity of stream salamander populations in the New York City metropolitan area,Evolutionary Applications,,"1752-4571, 1752-4571",10.1111/eva.13025,https://www.proquest.com/docview/2479466639/abstract/1C183E14A1A84FF0PQ/1,Y,New York,USA,genetic,"geographic distance, stream distance",genetic differentiation,amphibia,genetic sample,"text, figure, supplement",na,neg,"northern 2 lined salamander, SNPs, comparing rural, suburb, and urban populations"
398,YES,journalArticle,2022,"Maffey, Lucía; Confalonieri, Viviana; Hasson, Esteban; Schweigmann, Nicolás",City puzzles: Does urban land scape affect genetic population structure in Aedes aegypti?,PLOS Neglected Tropical Diseases,,1935-2735,10.1371/journal.pntd.0010549,https://dx.plos.org/10.1371/journal.pntd.0010549,Y,Buenos Aires,Argentina,genetic,geographic distance,genetic differentiation,arthropod,genetic sample,"text, supplement",na,neg,"mosquito genetics, IBD got some populations only"
172,YES,journalArticle,2009,"Magle, S. B.; Crooks, K. R.",Investigating the distribution of prairie dogs in an urban landscape,Animal Conservation,,"13679430, 14691795",10.1111/j.1469-1795.2009.00237.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1795.2009.00237.x,Y,Denver,USA,potential,"Ti (incidence function), % prairie dog colony in 2km buffer",occurrence,mammalia,survey,"text, table",na,pos,strange metrics for the colony connectivity.
274,YES,journalArticle,2010,"Magle, Seth B.; Ruell, Emily W.; Antolin, Michael F.; Crooks, Kevin R.","Population genetic structure of black-tailed prairie dogs, a highly interactive species, in fragmented urban habitat",Journal of Mammalogy,,"0022-2372, 1545-1542",10.1644/09-MAMM-A-019.1,https://academic.oup.com/jmammal/article-lookup/doi/10.1644/09-MAMM-A-019.1,Y,Denver,USA,genetic,"geographic distance, least-cost distance",genetic differentiation,mammalia,genetic sample,"text, table",na,0,"microsatellite loci, isolation-by-distance measured e2e of sampled colonies"
309,YES,journalArticle,2012,"Magle, Seth B.; Salamack, Kristin A.; Crooks, Kevin R.; Reading, Richard P.",Effects of habitat fragmentation and black-tailed prairie dogs on urban avian diversity,Biodiversity and Conservation,,"0960-3115, 1572-9710",10.1007/s10531-012-0339-6,http://link.springer.com/10.1007/s10531-012-0339-6,Y,Denver,USA,structural,area-weighted inter-patch distance ,"species richness, shannon-wiener index, species density",aves,transect survey,"text, table",na,pos,"same study area as previous magle 2009, just using the sampled bird diversity "
178,YES,journalArticle,2016,"Mäkeläinen, Sanna; De Knegt, Henrik J; Ovaskainen, Otso; Hanski, Ilpo K",Home-range use patterns and movements of the Siberian flying squirrel in urban forests: Effects of habitat composition and connectivity,Movement Ecology,,2051-3933,10.1186/s40462-016-0071-z,http://movementecologyjournal.biomedcentral.com/articles/10.1186/s40462-016-0071-z,Y,Kuopio,Finland,actual,geographic distance,probability of nest switching,mammalia,radio-tracking,"text, table, figure",na,neg,"flying squirrels, includes sex differences"
208,YES,journalArticle,2020,"La Sorte, Frank A.; Aronson, Myla F.J.; Lepczyk, Christopher A.; Horton, Kyle G.",Area is the primary correlate of annual and seasonal patterns of avian species richness in urban green spaces,Landscape and Urban Planning,,0169-2046,10.1016/j.landurbplan.2020.103892,https://www.sciencedirect.com/science/article/pii/S0169204620302383,Y,New York,USA,structural,average distance to neighbour in 2km buffer,species richness,aves,citizen science,"text, table, figure",na,0,"ebird data, only estimate isolation."
190,YES,journalArticle,2017,"Marrotte, Robby R.; Gonzalez, Andrew; Millien, Virginie","Functional connectivity of the white-footed mouse in Southern Quebec, Canada",Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-017-0559-y,http://link.springer.com/10.1007/s10980-017-0559-y,Y,Quebec,Canada,functional,na,na,mammalia,na,na,4,na,functional connectivity modelling using individual based models and
13,YES,journalArticle,2017,"Martín-Queller, Emi; Albert, Cécile H.; Dumas, Pierre-Jean; Saatkamp, Arne","Islands, mainland, and terrestrial fragments: How isolation shapes plant diversity",Ecology and Evolution,,20457758,10.1002/ece3.3150,https://onlinelibrary.wiley.com/doi/10.1002/ece3.3150,Y,Marseille,France,potential,"local network area, equivalent connected area",species richness,plants,site survey,"text, table",na,pos,"include multiple scales, all their metrics focus on area though"
258,YES,journalArticle,2020,"Maseko, Mfundo S. T.; Zungu, Manqoba M.; Ehlers Smith, David A.; Ehlers Smith, Yvette C.; Downs, Colleen T.","Effects of habitat-patch size and patch isolation on the diversity of forest birds in the urban-forest mosaic of Durban, South Africa",Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-020-00945-z,http://link.springer.com/10.1007/s11252-020-00945-z,Y,Durban,South Africa,structural,distance to core patch,"species richness, functional diversity",aves,site survey,"text, table",na,0,core patch described as the 'largest patch'
11,YES,journalArticle,2019,"Matos, Cátia; Petrovan, Silviu O.; Wheeler, Philip M.; Ward, Alastair I.",Landscape connectivity and spatial prioritization in an urbanising world: A network analysis approach for a threatened amphibian,Biological Conservation,,63207,10.1016/j.biocon.2019.06.035,https://linkinghub.elsevier.com/retrieve/pii/S000632071831680X,Y,Bedford,UK,potential,integral index of connectivity,na,amphibia,none,na,4,na,"not really IN an urban area, just adjacent to Bedford. SDMs used to describe habitat suitability, but no validation of the model they created to identify 'important' patches"
363,YES,journalArticle,2022,"Melo, Marcos Antônio; Sanches, Patrícia Mara; Silva Filho, Demóstenes F.; Piratelli, Augusto João",Influence of habitat type and distance from source area on bird taxonomic and functional diversity in a Neotropical megacity,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-021-01169-5,https://link.springer.com/10.1007/s11252-021-01169-5,Y,Sao Paolo,Brazil,structural,distance to nearest state park,"species richness, evenness, divergence",aves,site survey,"text, figure, supplement",na,neg,Cantareira state park assumed as source patch
261,YES,journalArticle,2021,"Melo, T S; Moreira, E F; Lopes, M V A; Andrade, A R S; Brescovit, A D; Peres, M C L; Delabie, J H C",Influence of Urban Landscape on Ants and Spiders Richness and Composition in Forests,Neotropical Entomology,,"1519-566X, 1678-8052",10.1007/s13744-020-00824-4,http://link.springer.com/10.1007/s13744-020-00824-4,Y,Salvador,Brazil,structural,average distance to nearest neighbour,"species richness, community composition",arthropod,site survey,"text, table, figure, supplement",na,neg,"spiders and ants, 3 sampling methods. "
50,YES,journalArticle,2018,"Milano, V.; Maisto, G.; Baldantoni, D.; Bellino, A.; Bernard, C.; Croce, A.; Dubs, F.; Strumia, S.; Cortet, J.",The effect of urban park landscapes on soil Collembola diversity: A Mediterranean case study,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2018.08.008,https://linkinghub.elsevier.com/retrieve/pii/S0169204618307801,Y,Montpellier,France,na,na,na,collembola,soil sample,na,5,na,no actual measure of connectivity is estimated in the study.
28,YES,journalArticle,2018,"Miles, Lindsay S.; Johnson, J. Chadwick; Dyer, Rodney J.; Verrelli, Brian C.",Urbanization as a facilitator of gene flow in a human health pest,Molecular Ecology,,"0962-1083, 1365-294X",10.1111/mec.14783,https://onlinelibrary.wiley.com/doi/10.1111/mec.14783,Y,na,USA,genetic,na,na,arthropod,genetic sample,na,4,na,"not in 1 city, samples are from all over the place in the south-east states"
64,YES,journalArticle,2020,"Mimet, Anne; Kerbiriou, Christian; Simon, Laurent; Julien, Jean-Francois; Raymond, Richard","Contribution of private gardens to habitat availability, connectivity and conservation of the common pipistrelle in Paris",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2019.103671,https://linkinghub.elsevier.com/retrieve/pii/S0169204619312861,Y,Paris,France,potential,current flow,acoustic activity,chiroptera,none,na,8,na,"traverse the map while staying in a particular patch, from a random starting point and moving in"
169,YES,journalArticle,2017,"Minias, Piotr; W?odarczyk, Rados?aw; Minias, Alina; Dziadek, Jaros?aw","How birds colonize cities: genetic evidence from a common waterbird, the Eurasian coot",Journal of Avian Biology,,9088857,10.1111/jav.01334,https://onlinelibrary.wiley.com/doi/10.1111/jav.01334,Y,Warsaw,Poland,genetic,na,genetic differentiation,aves,genetic sample,na,5,na,"only describe the pattern, they don’t test anything for significance (re, distances)"
75,YES,journalArticle,2016,"Mitchell, Matthew G. E.; Wu, Dan; Johansen, Kasper; Maron, Martine; McAlpine, Clive; Rhodes, Jonathan R.",Landscape structure influences urban vegetation vertical structure,Journal of Applied Ecology,,"0021-8901, 1365-2664",10.1111/1365-2664.12741,https://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12741,Y,Brisbane,Australia,na,na,na,plants,na,na,5,na,"use shape and other configurational metrics, not estimating landscape connectivity"
305,YES,journalArticle,2009,"Mitrovich, Milan J.; Diffendorfer, Jay E.; Fisher, Robert N.",Behavioral Response of the Coachwhip (Masticophis flagellum) to Habitat Fragment Size and Isolation in an Urban Landscape,Journal of Herpetology,,0022-1511,10.1670/08-147.1,http://www.bioone.org/doi/abs/10.1670/08-147.1,Y,na,USA,na,na,movement,reptilia,radio-tracking,na,3,na,too small extent and small scale to be looking at landscape connectivity
87,YES,journalArticle,1998,"Miyashita, Tadashi; Shinkai, Akira; Chida, Takafumi",The effects of forest fragmentation on web spider communities in urban areas,Biological Conservation,,63207,10.1016/S0006-3207(98)00025-1,https://linkinghub.elsevier.com/retrieve/pii/S0006320798000251,Y,Yokohama; Tokyo,Japan,structural,inverse habitat amount (in buffer),"species richness, species density, density",aranaea,transect survey,"text, table",5,mixed,strange metric of 'isolation'
99,YES,journalArticle,2004,"Moffatt, S.F.; McLachlan, S.M.; Kenkel, N.C.",Impacts of land use on riparian forest along an urban – rural gradient in southern Manitoba,Plant Ecology,,1385-0237,10.1023/B:VEGE.0000046055.27285.fd,http://link.springer.com/10.1023/B:VEGE.0000046055.27285.fd,Y,Winnipeg,Canada,structural,area-weighted inter-patch distance ,"species richness, # of dominant species",plants,transect survey,"text, table, figure",na,mixed,"Riparian plant focus, so mostly centered around the assiniboine river, see paper for specific formula for connectivity/isolation"
147,YES,journalArticle,2020,"Mollashahi, Hassanali; Szymura, Magdalena; Szymura, Tomasz H.",Connectivity assessment and prioritization of urban grasslands as a helpful tool for effective management of urban ecosystem services,PLOS ONE,,1932-6203,10.1371/journal.pone.0244452,https://dx.plos.org/10.1371/journal.pone.0244452,Y,Wroclaw,Poland,potential,integral index of connectivity,na,plants,none,na,8,na,"MAYBE something in the supplement, but otherwise only used 'dispersal distance' classes instead of real grass species. No validation using empirically surveyed data"
262,YES,journalArticle,2006,"Morimoto, Tsuyoshi; Katoh, Kazuhiro; Yamaura, Yuichi; Watanabe, Satomi",Can surrounding land cover influence the avifauna in urban/suburban woodlands in Japan?,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2004.12.009,https://linkinghub.elsevier.com/retrieve/pii/S0169204605000125,Y,Chiba,Japan,na,na,species richness,aves,transect survey,text,5,na,only talk about patch isolation in discussion
26,YES,journalArticle,2007,"Mörtberg, U.M.; Balfors, B.; Knol, W.C.",Landscape ecological assessment: A tool for integrating biodiversity issues in strategic environmental assessment and planning,Journal of Environmental Management,,3014797,10.1016/j.jenvman.2006.01.005,https://linkinghub.elsevier.com/retrieve/pii/S0301479706000399,Y,Stockholm,Sweden,na,na,na,na,na,na,9,na,more of a planning tool framework that a worked case-study
131,YES,journalArticle,2011,"Moxham, Claire; Turner, Vivienne","The effect of fragmentation on the threatened plant community Coastal Moonah Woodland in Victoria, Australia",Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-011-0171-x,http://link.springer.com/10.1007/s11252-011-0171-x,Y,na,Australia,structural,area of native vegetation in proximity to site,na,plants,na,na,4,0,mostly a 'disturbance' hypotehsis they were testing.
226,YES,journalArticle,2020,"Muderere, Trymore; Murwira, Amon; Kativu, Shakkie; Tagwireyi, Paradzayi; Chiweshe, Ngoni",The influence of landscape structure on the diversity of avifauna species in tropical urban areas of Northeastern Zimbabwe,Biodiversity,,"1488-8386, 2160-0651",10.1080/14888386.2020.1842244,https://www.tandfonline.com/doi/full/10.1080/14888386.2020.1842244,Y,Harare,Zimbabwe,structural,proximity index,"species richness, abundance, menhinick's index, simpson's index, berger-parker index",aves,transect survey,"text, figure, supplement",11,mixed,SUPPLEMENT IS NOT AVAILABLE? Kinda sus
229,YES,journalArticle,2020,"Muñoz, Pablo; García-Rodríguez, Adri´án; Sandoval, Luis","Urbanization, habitat extension and spatial pattern, threaten a Costa Rican endemic bird",Revista de Biologia Tropical,,"2215-2075, 0034-7744",10.15517/rbt.v69i1.41742,https://revistas.ucr.ac.cr/index.php/rbt/article/view/41742,Y,na,Costa Rica,potential,probability of connectivity,na,aves,citizen science,na,4,na,"not in the city, SDM/ENM of a costa rican bird for the whole country essentially, using CITIZEN SCIENCE DATA"
336,YES,journalArticle,2012,"Munshi-South, Jason",Urban landscape genetics: canopy cover predicts gene flow between white-footed mouse ( <i>Peromyscus leucopus</i> ) populations in New York City: LANDSCAPE GENETICS OF URBAN WHITE-FOOTED MICE,Molecular Ecology,,9621083,10.1111/j.1365-294X.2012.05476.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-294X.2012.05476.x,Y,New York,USA,genetic,"geographic distance, effective distance, resistance distance",gene flow,rodentia,genetic sample,"text, table, supplement",na,pos,"comparing estimates of gene flow against isolation by resistance, least-cost path and by distance to estimate the relative impacts of the features. Layer resistance values in supplement, estimated by literature?"
54,YES,journalArticle,2014,"Munshi-South, Jason; Nagy, Christopher","Urban park characteristics, genetic variation, and historical demography of white-footed mouse ( <i>Peromyscus leucopus</i> ) populations in New York City",PeerJ,,2167-8359,10.7717/peerj.310,https://peerj.com/articles/310,Y,New York,USA,genetic,na,na,rodentia,genetic sample,na,5,na,"Focus on 'time since isolation', not geographic isolation. sample populations same as the earier works by the author"
177,YES,journalArticle,2013,"Munshi-South, Jason; Zak, Yana; Pehek, Ellen",Conservation genetics of extremely isolated urban populations of the northern dusky salamander ( <i>Desmognathus fuscus</i> ) in New York City,PeerJ,,2167-8359,10.7717/peerj.64,https://peerj.com/articles/64,Y,New York,USA,genetic,none,genetic differentiation,amphibia,genetic sample,na,5,na,"northern dusky salamander, 5 microsatellite loci. Only describing genetic structure, no tests of isolation by anything"
400,YES,journalArticle,2016,"Munshi?South, Jason; Zolnik, Christine P.; Harris, Stephen E.",Population genomics of the Anthropocene: urbanization is negatively associated with genome-wide variation in white-footed mouse populations,Evolutionary Applications,,"1752-4571, 1752-4571",10.1111/eva.12357,https://onlinelibrary.wiley.com/doi/abs/10.1111/eva.12357,Y,New York,USA,genetic,"geographic distance, resistance distance, environmental distance",genetic differentiation,mammalia,genetic sample,"text, figure, supplement",na,neg,"white-footed mouse, using single nucleitde polymorphisms, author has done a lot of work on this taxa. Resistance layer defined by circuitscape and compared to IBD and IBE"
342,YES,journalArticle,2005,"Murakami, Kentaro; Maenaka, Hisayuki; Morimoto, Yukihiro",Factors influencing species diversity of ferns and fern allies in fragmented forest patches in the Kyoto city area,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2003.10.019,https://linkinghub.elsevier.com/retrieve/pii/S0169204603002238,Y,Kyoto,Japan,structural,"distance from the nearest patch, distance from the nearest mountain forest","Shannon-Wiener index (SWI), Inverse SWI",pteridophyta,survey,"text, table, figure",na,0,only distance to mountains was sign in a multiple regression
150,YES,journalArticle,2013,"Muratet, Audrey; Lorrillière, Romain; Clergeau, Philippe; Fontaine, Colin",Evaluation of landscape connectivity at community level using satellite-derived NDVI,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-012-9817-1,http://link.springer.com/10.1007/s10980-012-9817-1,Y,Paris,France,potential,"least-cost path, flow",community composition,plants,site survey,"text, figure",na,pos,biological distance = dissimilarity; flow is a directional measure of connectivity
44,YES,journalArticle,2007,"Muratet, Audrey; Machon, Nathalie; Jiguet, Frédéric; Moret, Jacques; Porcher, Emmanuelle","The Role of Urban Structures in the Distribution of Wasteland Flora in the Greater Paris Area, France",Ecosystems,,"1432-9840, 1435-0629",10.1007/s10021-007-9047-6,http://link.springer.com/10.1007/s10021-007-9047-6,Y,Paris,France,structural,distance between sites,"species richness, indigeneity, rarity, Jacard similarity (floristic distance)",plants,stratefied sampling,"text, figure",na,neg,only looking at flowers in 'wasteland' abandoned or low maintenance sites
194,YES,journalArticle,2007,"Murgui, Enrique",Effects of seasonality on the species–area relationship: a case study with birds in urban parks,Global Ecology and Biogeography,,"1466-822X, 1466-8238",10.1111/j.1466-8238.2006.00304.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1466-8238.2006.00304.x,Y,Valencia,Spain,structural,distance to nearest patch >10ha,"species richness (breeding birds), temporal turnover",aves,survey,"text, table",na,neg,focus more on species area and seasonality than connectivity
199,YES,journalArticle,2023,"Murphy, Michael T.; Bailey, David C.; Lichti, Nathanael I.; Roberts, Laura A.",Differential response of migratory guilds of birds to park area and urbanization,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-022-01285-w,https://link.springer.com/10.1007/s11252-022-01285-w,Y,Portland,USA,structural,area-weighted distance to nearest neighbour in 1km buffer,"species richness, species density",aves,site survey,"text, table",10,0,"focus on breeding birds, seperated by migration behaviour. Not sure the connectivity metric wasn’t biased by area. No parameter estimates for connectivity either"
359,YES,journalArticle,2022,"Muyshondt, Babette; Wuyts, Karen; Van Mensel, Anskje; Smets, Wenke; Lebeer, Sarah; Aleixo, Cristiana; Alós Ortí, Marta; Casanelles-Abella, Joan; Chiron, François; Giacomo, Puglielli; Laanisto, Lauri; Moretti, Marco; Niinemets, Ülo; Pinho, Pedro; Tryjanowski, Piotr; Woszczy?o, Patrycja; Samson, Roeland",Phyllosphere bacterial communities in urban green areas throughout Europe relate to urban intensity,FEMS Microbiology Ecology,,1574-6941,10.1093/femsec/fiac106,https://academic.oup.com/femsec/article/doi/10.1093/femsec/fiac106/6695091,Y,MULTIPLE,MULTIPLE,structural,proximity index,"species richness, community composition",bacteria,site survey,"text, table, figure, supplement",na,mixed,"bacterial communities in urban trees, 6 european cities, 77 urban green spaces sampled"
115,YES,journalArticle,2014,"Myczko, ?ukasz; Rosin, Zuzanna M.; Skórka, Piotr; Tryjanowski, Piotr",Urbanization Level and Woodland Size Are Major Drivers of Woodpecker Species Richness and Abundance,PLoS ONE,,1932-6203,10.1371/journal.pone.0094218,https://dx.plos.org/10.1371/journal.pone.0094218,Y,Poznan,Poland,na,na,"species richness, abundance",aves,transect survey,na,5,na,"woodpecker species, more focus on urbanization (distance to city centre)"
348,YES,journalArticle,1999,"Natuhara, Yosihiro; Imai, Chobei","Prediction of species richness of breeding birds by landscape-level factors of urban woods in Osaka Prefecture, Japan",Biodiversity and Conservation,,9603115,10.1023/A:1008869410668,http://link.springer.com/10.1023/A:1008869410668,Y,Osaka,Japan,structural,"distance to mountains, distancce to woods",species richness,aves,transect survey,"text, table",5,0,focus more on species-area relationship than connectivity
53,YES,journalArticle,2020,"Nava-Díaz, Remedios; Pineda-López, Rubén; Dorantes-Euan, Alfredo","Drivers of Functional Composition of Bird Assemblages in Green Spaces of a Neotropical City: A Case Study From Merida, Mexico",Tropical Conservation Science,,"1940-0829, 1940-0829",10.1177/1940082920923896,http://journals.sagepub.com/doi/10.1177/1940082920923896,Y,Merida,Mexico,structural,"distance to nearest neighbour patch of native vegetation, proportion vegetation in 100m buffer",na,aves,site survey,"text, figure",na,mixed,"RLQ analysis, havnt seen this before. UNSURE"
351,YES,journalArticle,2020,"Alvarez, A M J","Focal Nodes Identification Using Habitat Availability Concept for Simulation of Ecological Connectivity Network of Quezon City, Philippines",IOP Conference Series: Earth and Environmental Science,,"1755-1307, 1755-1315",10.1088/1755-1315/501/1/012013,https://iopscience.iop.org/article/10.1088/1755-1315/501/1/012013,Y,Quezon,Philippines,potential,integral index of connectivity,na,aves,none,na,8,na,mapping habitat for 2 birds species as focal species. No validation
245,YES,journalArticle,2022,"Nelli, Luca; Schehl, Bianka; Stewart, Robyn A.; Scott, Catherine; Ferguson, Scott; MacMillan, Shelagh; McCafferty, Dominic J.",Predicting habitat suitability and connectivity for management and conservation of urban wildlife: A real?time web application for grassland water voles,Journal of Applied Ecology,,"0021-8901, 1365-2664",10.1111/1365-2664.14118,https://onlinelibrary.wiley.com/doi/10.1111/1365-2664.14118,Y,Glasgow,Scotland,structural,distance to nearest neighbour,occurrence,mammalia,gps tracking,"text, table, figure",na,neg,"water voles, presence data used to establish habitat suitability model (linear effects of distance). HSM used to create a circuit map aferwards, no validation of that though"
186,YES,journalArticle,2016,"Ness, J. H.; Pfeffer, M.; Stark, J.; Guest, A.; Combs, L. J.; Nathan, E.","In an arid urban matrix, fragment size predicts access to frugivory and rain necessary for plant population persistence",Ecosphere,,"2150-8925, 2150-8925",10.1002/ecs2.1284,https://onlinelibrary.wiley.com/doi/10.1002/ecs2.1284,Y,Tucson,USA,structural,distance to nearest neighbour >350ha,fruit removal,plants,site survey,na,10,na,"aic model selection, using cactus as study species"
257,YES,journalArticle,2010,"Nichol, Janet Elizabeth; Wong, Man Sing; Corlett, Richard; Nichol, Douglas W.",Assessing avian habitat fragmentation in urban areas of Hong Kong (Kowloon) at high spatial resolution using spectral unmixing,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2009.12.002,https://linkinghub.elsevier.com/retrieve/pii/S0169204609002370,Y,Hong Kong,Hong Kong,potential,least-cost path,"species richness, species density, SWI",aves,walking survey,text,10,na,"resistance values bsed on IKONOS imaging and expert opinion, no presentation of results, they just said that there was signficant difference…"
153,YES,journalArticle,2021,"Nie, Wenbin; Shi, Yan; Siaw, Martin John; Yang, Fan; Wu, Renwu; Wu, Xu; Zheng, Xueyan; Bao, Zhiyi","Constructing and optimizing ecological network at county and town Scale: The case of Anji County, China",Ecological Indicators,,1470160X,10.1016/j.ecolind.2021.108294,https://linkinghub.elsevier.com/retrieve/pii/S1470160X21009596,Y,Anji,China,potential,minimum cumulative resistance,na,na,none,na,8,na,"modelling ecosystem services for land use planning, no validation"
16,YES,journalArticle,2023,"Niu, Hongyu; Rehling, Finn; Chen, Zhiwen; Yue, Xingcheng; Zhao, Hengyue; Wang, Xiaorong; Zhang, Hongmao; Schabo, Dana G.; Farwig, Nina","Regeneration of urban forests as influenced by fragmentation, seed dispersal mode and the legacy effect of reforestation interventions",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2023.104712,https://linkinghub.elsevier.com/retrieve/pii/S0169204623000312,Y,Wuhan,China,structural,proportion non-forest in 1km buffer,"species richness, community composition",plants,transect survey,"text, figure, supplement",na,0,"Tree species, comparing seed dispersal types too (animal vs wind)"
